Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
0:52:33,0:52:54,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, mccree, lucio, moira, 38,88,8,100,10,28,100,27,15,100,100,38,moira sigma ,sigma moira ,65,24,48,using,49,68,35,46,65,9,100,77,red,sigma,blue,doomfist,3,0
0:53:28,0:53:39,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, mccree, lucio, moira, 82,56,72,18,71,85,69,71,83,18,100,90,reaper ,mccree ,98,97,86,38,94,6,100,88,97,37,100,0,blue,reaper,red,mccree,5,1
0:54:1,0:54:15,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 100,100,92,42,100,0,100,96,100,43,100,2,orisa moira doomfist ,moira ,using,0,using,64,100,38,0,100,100,49,100,7,blue,orisa,red,doomfist,3,1
0:54:40,0:55:24,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 6,23,6,72,100,44,17,100,100,56,100,13,lucio moira ,orisa doomfist moira ,53,15,63,100,26,100,3,67,43,100,100,62,red,orisa,red,doomfist,2,9
0:55:47,0:56:15,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 60,28,70,100,30,100,15,75,50,100,100,67,reaper sigma ,sigma lucio orisa ,80,81,86,2,71,41,39,using,100,18,8,100,red,sigma,red,lucio,0,7
1:60:38,1:60:53,blue,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, sombra, lucio, moira, 4,12,0,0,7,3,15,5,5,4,6,5,,,17,52,54,26,27,42,28,15,38,18,29,32,Null,Null,blue,pharah,6,0
2:1:24,2:1:58,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, mccree, lucio, moira, 30,44,75,38,53,52,52,25,66,25,39,17,moira pharah ,moira doomfist ,65,22,7,90,86,80,30,56,33,65,69,42,blue,moira,red,doomfist,4,7
2:2:20,2:2:40,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, mccree, lucio, moira, 72,45,22,95,100,85,42,67,39,70,88,52,mercy sigma ,lucio ,91,82,45,18,1,100,88,100,86,100,9,10,blue,mercy,red,mccree,0,5
2:3:23,2:3:38,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, mccree, lucio, moira, 100,100,12,29,12,100,100,100,100,100,25,100,orisa ,sigma moira ,15,100,51,39,40,100,9,100,100,5,46,100,red,sigma,red,doomfist,1,6
2:3:57,2:4:14,red,sigma, wrecking_ball, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, mccree, lucio, moira, 2,100,56,43,43,100,19,100,100,9,10,100,moira reaper ,orisa doomfist mccree ,32,2,67,56,65,2,57,23,6,38,72,0,red,orisa,red,doomfist,1,6
